variant,variant_label,base_method,rebalance_date,asset,sector,signal_source_date,lagged_sector_signal,sector_signal_z,tilt_multiplier,base_target_weight,target_weight,pretrade_weight,turnover,transaction_cost,tilt_strength
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,ABBV,Healthcare,,,0.0,1.0,0.1,0.1,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,ABT,Healthcare,,,0.0,1.0,1.7042131189418872e-16,1.7042131189418872e-16,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,ADBE,Tech,,,0.0,1.0,0.0,0.0,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,AEP,Utilities,,,0.0,1.0,8.266007185881523e-17,8.266007185881523e-17,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,AMD,Tech,,,0.0,1.0,0.0,0.0,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,AMGN,Healthcare,,,0.0,1.0,3.4055009474409013e-17,3.4055009474409013e-17,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,AMT,RealEstate,,,0.0,1.0,0.0,0.0,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,BA,Industrials,,,0.0,1.0,3.9071221022508885e-17,3.9071221022508885e-17,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,CAT,Industrials,,,0.0,1.0,0.0,0.0,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,CCI,RealEstate,,,0.0,1.0,0.0,0.0,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,CMCSA,Comm,,,0.0,1.0,1.1680031686360975e-16,1.1680031686360975e-16,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,COP,Energy,,,0.0,1.0,0.0,0.0,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,CVX,Energy,,,0.0,1.0,0.0,0.0,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,D,Utilities,,,0.0,1.0,0.0,0.0,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,DD,Materials,,,0.0,1.0,0.0,0.0,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,DIS,Consumer,,,0.0,1.0,2.3644395507446146e-17,2.3644395507446146e-17,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,DOW,Materials,,,0.0,1.0,1.4324438544966108e-17,1.4324438544966108e-17,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,DUK,Utilities,,,0.0,1.0,0.0,0.0,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,EA,Comm,,,0.0,1.0,0.09999999999999996,0.09999999999999996,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,GE,Industrials,,,0.0,1.0,4.005768849646759e-18,4.005768849646759e-18,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,GILD,Healthcare,,,0.0,1.0,0.1,0.1,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,GS,Financials,,,0.0,1.0,0.0,0.0,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,INTC,Tech,,,0.0,1.0,0.0,0.0,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,KO,Consumer,,,0.0,1.0,0.062333123113935,0.062333123113935,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,MMM,Industrials,,,0.0,1.0,0.09999999999999998,0.09999999999999998,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,MRK,Healthcare,,,0.0,1.0,0.09999999999999999,0.09999999999999999,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,MS,Financials,,,0.0,1.0,0.0,0.0,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,NEE,Utilities,,,0.0,1.0,1.5090719480610145e-17,1.5090719480610145e-17,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,NEM,Materials,,,0.0,1.0,0.09999999999999998,0.09999999999999998,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,NKE,Consumer,,,0.0,1.0,0.010768856029097653,0.010768856029097653,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,NUE,Materials,,,0.0,1.0,0.0,0.0,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,NVDA,Tech,,,0.0,1.0,4.035416364396119e-18,4.035416364396119e-18,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,O,RealEstate,,,0.0,1.0,1.5026307113637095e-17,1.5026307113637095e-17,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,OXY,Energy,,,0.0,1.0,0.0,0.0,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,PLD,RealEstate,,,0.0,1.0,0.0,0.0,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,PSA,RealEstate,,,0.0,1.0,0.09999999999999992,0.09999999999999992,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,QCOM,Tech,,,0.0,1.0,0.0,0.0,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,SBUX,Consumer,,,0.0,1.0,0.0,0.0,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,SHW,Materials,,,0.0,1.0,0.0,0.0,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,SLB,Energy,,,0.0,1.0,2.0897369469082744e-17,2.0897369469082744e-17,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,SO,Utilities,,,0.0,1.0,0.0,0.0,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,T,Comm,,,0.0,1.0,1.638454208352325e-17,1.638454208352325e-17,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,TMUS,Comm,,,0.0,1.0,2.0101860967583405e-17,2.0101860967583405e-17,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,TTWO,Comm,,,0.0,1.0,0.0862588088613564,0.0862588088613564,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,UPS,Industrials,,,0.0,1.0,0.040639211995610935,0.040639211995610935,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,USB,Financials,,,0.0,1.0,2.7199559711273466e-18,2.7199559711273466e-18,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,V,Financials,,,0.0,1.0,0.0,0.0,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,WFC,Financials,,,0.0,1.0,0.0,0.0,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,WMT,Consumer,,,0.0,1.0,0.1,0.1,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-01-04,XOM,Energy,,,0.0,1.0,0.0,0.0,0.0,1.0,0.001,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,ABBV,Healthcare,,,0.0,1.0,0.09999999999999999,0.09999999999999999,0.09824826781319644,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,ABT,Healthcare,,,0.0,1.0,1.388709761480569e-16,1.388709761480569e-16,1.9611322408302422e-16,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,ADBE,Tech,,,0.0,1.0,0.0,0.0,0.0,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,AEP,Utilities,,,0.0,1.0,0.0,0.0,8.155249468338653e-17,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,AMD,Tech,,,0.0,1.0,1.1829156598843586e-17,1.1829156598843586e-17,0.0,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,AMGN,Healthcare,,,0.0,1.0,8.342457868610846e-17,8.342457868610846e-17,3.630976573606625e-17,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,AMT,RealEstate,,,0.0,1.0,0.0,0.0,0.0,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,BA,Industrials,,,0.0,1.0,8.336683492328757e-18,8.336683492328757e-18,3.598953791080539e-17,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,CAT,Industrials,,,0.0,1.0,0.0,0.0,0.0,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,CCI,RealEstate,,,0.0,1.0,7.881015390680618e-18,7.881015390680618e-18,0.0,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,CMCSA,Comm,,,0.0,1.0,4.071030025921927e-17,4.071030025921927e-17,1.1270463401281258e-16,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,COP,Energy,,,0.0,1.0,5.360287318912653e-19,5.360287318912653e-19,0.0,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,CVX,Energy,,,0.0,1.0,0.0,0.0,0.0,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,D,Utilities,,,0.0,1.0,0.0,0.0,0.0,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,DD,Materials,,,0.0,1.0,0.0,0.0,0.0,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,DIS,Consumer,,,0.0,1.0,2.977463547538835e-17,2.977463547538835e-17,2.2284066366006936e-17,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,DOW,Materials,,,0.0,1.0,1.2781740492660233e-17,1.2781740492660233e-17,1.3601280910067572e-17,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,DUK,Utilities,,,0.0,1.0,3.6158139229911655e-17,3.6158139229911655e-17,0.0,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,EA,Comm,,,0.0,1.0,0.09999999999999998,0.09999999999999998,0.10125500672925754,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,GE,Industrials,,,0.0,1.0,0.0,0.0,4.022178143549524e-18,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,GILD,Healthcare,,,0.0,1.0,0.1,0.1,0.11433026501700087,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,GS,Financials,,,0.0,1.0,0.0,0.0,0.0,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,INTC,Tech,,,0.0,1.0,0.0,0.0,0.0,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,KO,Consumer,,,0.0,1.0,0.05953056585132533,0.05953056585132533,0.05557067308161694,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,MMM,Industrials,,,0.0,1.0,0.09999999999999994,0.09999999999999994,0.1020432220267226,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,MRK,Healthcare,,,0.0,1.0,0.09999999999999994,0.09999999999999994,0.0956665374227975,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,MS,Financials,,,0.0,1.0,0.0,0.0,0.0,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,NEE,Utilities,,,0.0,1.0,0.0,0.0,1.606162723884181e-17,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,NEM,Materials,,,0.0,1.0,0.09999999999999995,0.09999999999999995,0.10104617807239692,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,NKE,Consumer,,,0.0,1.0,0.005876636060505088,0.005876636060505088,0.010325403677590226,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,NUE,Materials,,,0.0,1.0,0.0,0.0,0.0,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,NVDA,Tech,,,0.0,1.0,2.259505998822824e-17,2.259505998822824e-17,4.076994808504032e-18,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,O,RealEstate,,,0.0,1.0,0.0,0.0,1.455025228328264e-17,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,OXY,Energy,,,0.0,1.0,7.65476384289927e-19,7.65476384289927e-19,0.0,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,PLD,RealEstate,,,0.0,1.0,9.052293658207988e-18,9.052293658207988e-18,0.0,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,PSA,RealEstate,,,0.0,1.0,0.09999999999999995,0.09999999999999995,0.10008249419818621,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,QCOM,Tech,,,0.0,1.0,0.0,0.0,0.0,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,SBUX,Consumer,,,0.0,1.0,9.189684328783126e-18,9.189684328783126e-18,0.0,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,SHW,Materials,,,0.0,1.0,1.7725667228029825e-17,1.7725667228029825e-17,0.0,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,SLB,Energy,,,0.0,1.0,1.3785070177732422e-17,1.3785070177732422e-17,2.1588093970200964e-17,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,SO,Utilities,,,0.0,1.0,1.377619096762055e-17,1.377619096762055e-17,0.0,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,T,Comm,,,0.0,1.0,0.011765203954659995,0.011765203954659995,1.6951510872297317e-17,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,TMUS,Comm,,,0.0,1.0,5.213307781490897e-18,5.213307781490897e-18,1.9083559597920832e-17,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,TTWO,Comm,,,0.0,1.0,0.08223520383266278,0.08223520383266278,0.0844914605363632,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,UPS,Industrials,,,0.0,1.0,0.04059239030084676,0.04059239030084676,0.03798068984665554,0.025462190364350094,2.5462190364350095e-05,0.0
base,Base Equity Minimum Variance,minimum_variance,2021-02-01,USB,Financials,,,0.0,1.0,0.0,0.0,2.540081826026852e-18,0.025462190364350094,2.5462190364350095e-05,0.0
