headline_date,aligned_trading_date,alignment_status,alignment_lag_calendar_days,ticker,sector,title,publisher,url
2023-12-30,,after_last_equity_date_unaligned,,AMD,Tech,24 Spectacular Stocks to Buy Hand Over Fist for 2024 (Including Growth Stocks and Dividend Stocks),,https://www.nasdaq.com/articles/24-spectacular-stocks-to-buy-hand-over-fist-for-2024-including-growth-stocks-and-dividend
2023-12-30,,after_last_equity_date_unaligned,,AMD,Tech,Is It Too Late to Buy Nvidia Stock?,,https://www.nasdaq.com/articles/is-it-too-late-to-buy-nvidia-stock-16
2023-12-30,,after_last_equity_date_unaligned,,AMD,Tech,These 3 Tech Stocks Could Outperform the S&P 500 in 2024,,https://www.nasdaq.com/articles/these-3-tech-stocks-could-outperform-the-sp-500-in-2024
2023-12-31,,after_last_equity_date_unaligned,,AMD,Tech,Guru Fundamental Report for AMD,,https://www.nasdaq.com/articles/guru-fundamental-report-for-amd-62
2023-12-31,,after_last_equity_date_unaligned,,AMD,Tech,Here's Why Nvidia and AMD Are Set to Skyrocket in 2024,,https://www.nasdaq.com/articles/heres-why-nvidia-and-amd-are-set-to-skyrocket-in-2024
2020-01-01,2020-01-02,next_trading_day,1,ABBV,Healthcare,Is AbbVie's Stock a Buy?,,https://www.nasdaq.com/articles/is-abbvies-stock-a-buy-2020-01-01
2020-01-01,2020-01-02,next_trading_day,1,AMGN,Healthcare,Breakingviews - A health craze for 2020: Chinese medicine,,https://www.nasdaq.com/articles/breakingviews-a-health-craze-for-2020%3A-chinese-medicine-2020-01-02
2020-01-01,2020-01-02,next_trading_day,1,AMT,RealEstate,3 Ways to Prepare Your Stock Portfolio for a Recession,,https://www.nasdaq.com/articles/3-ways-to-prepare-your-stock-portfolio-for-a-recession-2020-01-01
2020-01-01,2020-01-02,next_trading_day,1,DIS,Consumer,3 Stocks to Buy and Hold for the Next 50 Years,,https://www.nasdaq.com/articles/3-stocks-to-buy-and-hold-for-the-next-50-years-2020-01-01
2020-01-01,2020-01-02,next_trading_day,1,DIS,Consumer,"Dow Jones Futures Signal Stock Market Gains To Start 2020: Tesla Deliveries Loom; Google, Disney Test Key Support",Investor's Business Daily,http://www.investors.com/market-trend/stock-market-today/dow-jones-futures-stock-market-rally-tesla-deliveries-tesla-stock-google-stock-disney-stock/?src=A00237A&ven=BenzingaCP&src=AURLAAM
2020-01-02,2020-01-02,same_trading_day,0,ABBV,Healthcare,Better Buy: Abbott Laboratories vs. Pfizer,,https://www.nasdaq.com/articles/better-buy%3A-abbott-laboratories-vs.-pfizer-2020-01-02
2020-01-02,2020-01-02,same_trading_day,0,ABBV,Healthcare,"NOBL, TGT, ABBV, ADM: Large Inflows Detected at ETF",,https://www.nasdaq.com/articles/nobl-tgt-abbv-adm%3A-large-inflows-detected-at-etf-2020-01-02
2020-01-02,2020-01-02,same_trading_day,0,ABT,Healthcare,Does Medtronic's Current P/E Ratio Offer Any Opportunity To Investors?,,https://www.nasdaq.com/articles/does-medtronics-current-p-e-ratio-offer-any-opportunity-to-investors-2020-01-02
2020-01-02,2020-01-02,same_trading_day,0,ABT,Healthcare,"Health Care Sector Update for 01/02/2020: JNJ, PFE, ABT, MRK, AMGN, IPHA, ONTX, AERI",,https://www.nasdaq.com/articles/health-care-sector-update-for-01-02-2020%3A-jnj-pfe-abt-mrk-amgn-ipha-ontx-aeri-2020-01-02
2020-01-02,2020-01-02,same_trading_day,0,ABT,Healthcare,How Does Abbott's Revenue And Other Key Metrics Compare With That of Boston Scientific?,,https://www.nasdaq.com/articles/how-does-abbotts-revenue-and-other-key-metrics-compare-with-that-of-boston-scientific-2020
