date,fund_id,fund_name,asset_family,method,rebalance_schedule,rebalanced,gross_return,turnover,transaction_cost,net_return,growth_of_1_gross,growth_of_1_net,drawdown_net,covariance_estimator,prototype_id
2021-01-04,combined_hierarchical_risk_parity,Combined Hierarchical Risk Parity,combined,hierarchical_risk_parity,monthly,True,-0.00813767117336263,1.0,0.001,-0.00913767117336263,0.9918623288266374,0.9908623288266374,0.0,ledoit_wolf,combined_hierarchical_risk_parity__ledoit_wolf
2021-01-05,combined_hierarchical_risk_parity,Combined Hierarchical Risk Parity,combined,hierarchical_risk_parity,monthly,False,0.007323155356704831,0.0,0.0,0.007323155356704831,0.9991258907530979,0.9981185675977412,0.0,ledoit_wolf,combined_hierarchical_risk_parity__ledoit_wolf
2021-01-06,combined_hierarchical_risk_parity,Combined Hierarchical Risk Parity,combined,hierarchical_risk_parity,monthly,False,0.018439380566140903,0.0,0.0,0.018439380566140903,1.0175491532861787,1.0165232557158075,0.0,ledoit_wolf,combined_hierarchical_risk_parity__ledoit_wolf
2021-01-07,combined_hierarchical_risk_parity,Combined Hierarchical Risk Parity,combined,hierarchical_risk_parity,monthly,False,0.0073946749507462755,0.0,0.0,0.0073946749507462755,1.025073598521137,1.0240401147717002,0.0,ledoit_wolf,combined_hierarchical_risk_parity__ledoit_wolf
2021-01-08,combined_hierarchical_risk_parity,Combined Hierarchical Risk Parity,combined,hierarchical_risk_parity,monthly,False,0.0017599807884764748,0.0,0.0,0.0017599807884764748,1.0268777083613088,1.0258424057003277,0.0,ledoit_wolf,combined_hierarchical_risk_parity__ledoit_wolf
2021-01-11,combined_hierarchical_risk_parity,Combined Hierarchical Risk Parity,combined,hierarchical_risk_parity,monthly,False,-0.007750753038669339,0.0,0.0,-0.007750753038669339,1.0189186328428856,1.01789135455715,-0.007750753038669345,ledoit_wolf,combined_hierarchical_risk_parity__ledoit_wolf
2021-01-12,combined_hierarchical_risk_parity,Combined Hierarchical Risk Parity,combined,hierarchical_risk_parity,monthly,False,-0.002702838130007251,0.0,0.0,-0.002702838130007251,1.016164660710663,1.015140158991848,-0.010432642137827575,ledoit_wolf,combined_hierarchical_risk_parity__ledoit_wolf
2021-01-13,combined_hierarchical_risk_parity,Combined Hierarchical Risk Parity,combined,hierarchical_risk_parity,monthly,False,0.005173492410522185,0.0,0.0,0.005173492410522185,1.0214217808706905,1.0203919789000087,-0.005313122922227187,ledoit_wolf,combined_hierarchical_risk_parity__ledoit_wolf
2021-01-14,combined_hierarchical_risk_parity,Combined Hierarchical Risk Parity,combined,hierarchical_risk_parity,monthly,False,0.0023807652058926996,0.0,0.0,0.0023807652058926996,1.0238535463071283,1.0228212926197457,-0.0029450070145223828,ledoit_wolf,combined_hierarchical_risk_parity__ledoit_wolf
2021-01-15,combined_hierarchical_risk_parity,Combined Hierarchical Risk Parity,combined,hierarchical_risk_parity,monthly,False,-0.008374760870628236,0.0,0.0,-0.008374760870628236,1.0152790176902613,1.0142554088806686,-0.011295104155641611,ledoit_wolf,combined_hierarchical_risk_parity__ledoit_wolf
2021-01-19,combined_hierarchical_risk_parity,Combined Hierarchical Risk Parity,combined,hierarchical_risk_parity,monthly,False,0.00676819038084809,0.0,0.0,0.00676819038084809,1.0221506193716694,1.0211200825827778,-0.004603361190090527,ledoit_wolf,combined_hierarchical_risk_parity__ledoit_wolf
2021-01-20,combined_hierarchical_risk_parity,Combined Hierarchical Risk Parity,combined,hierarchical_risk_parity,monthly,False,0.009185576268646193,0.0,0.0,0.009185576268646193,1.0315396618439518,1.030499658980788,0.0,ledoit_wolf,combined_hierarchical_risk_parity__ledoit_wolf
2021-01-21,combined_hierarchical_risk_parity,Combined Hierarchical Risk Parity,combined,hierarchical_risk_parity,monthly,False,-0.013661529869581336,0.0,0.0,-0.013661529869581336,1.0174472519420128,1.0164214571090286,-0.013661529869581246,ledoit_wolf,combined_hierarchical_risk_parity__ledoit_wolf
2021-01-22,combined_hierarchical_risk_parity,Combined Hierarchical Risk Parity,combined,hierarchical_risk_parity,monthly,False,0.0008806120218259512,0.0,0.0,0.0008806120218259512,1.0183432282236466,1.0173165300634006,-0.012792948355195066,ledoit_wolf,combined_hierarchical_risk_parity__ledoit_wolf
2021-01-25,combined_hierarchical_risk_parity,Combined Hierarchical Risk Parity,combined,hierarchical_risk_parity,monthly,False,0.0027630282709898224,0.0,0.0,0.0027630282709898224,1.0211569393527997,1.0201274043965112,-0.01006526736217983,ledoit_wolf,combined_hierarchical_risk_parity__ledoit_wolf
2021-01-26,combined_hierarchical_risk_parity,Combined Hierarchical Risk Parity,combined,hierarchical_risk_parity,monthly,False,-0.003281785699106951,0.0,0.0,-0.003281785699106951,1.0178057211126879,1.0167795648694955,-0.013314021010800037,ledoit_wolf,combined_hierarchical_risk_parity__ledoit_wolf
