date,ticker_count,covered_tickers,headline_count,coverage_breadth,plain_sentiment_index,plain_fear_greed_index,plain_standardized_score,finance_sentiment_index,finance_fear_greed_index,finance_standardized_score,standardization_basis,no_news_policy
2020-01-02,50,39,138,0.78,0.09234129743589743,54.617064871794874,0.19448311721431916,0.09211583076923077,54.60579153846153,-0.050574460779453816,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2020-01-03,50,31,91,0.62,-0.008877484632034633,49.55612576839827,-2.601002569849279,0.0037942153679653688,50.189710768398264,-2.3129777613595643,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2020-01-06,50,42,164,0.84,0.0981039399584076,54.90519699792038,0.3536372224329493,0.08858323995840761,54.42916199792038,-0.14106357914187434,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2020-01-07,50,34,105,0.68,0.08265536904761905,54.13276845238095,-0.07302528016180015,0.11116500238095238,55.558250119047614,0.4373798019667238,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2020-01-08,50,33,116,0.66,0.07976583253968254,53.98829162698413,-0.15282922351258063,0.08492748968253969,54.24637448412698,-0.2347074901215839,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2020-01-09,50,40,98,0.8,0.10933136031746032,55.46656801587302,0.6637189313327247,0.13712982698412698,56.85649134920635,1.1024820491835956,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2020-01-10,50,42,103,0.84,0.0742257,53.711285,-0.30583799226780667,0.0742257,53.711285,-0.5088393002101147,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2020-01-13,50,38,181,0.76,0.09995612023809523,54.99780601190476,0.40479120152601156,0.11699276785714285,55.849638392857145,0.586660991949932,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2020-01-14,50,33,126,0.66,0.10353188095238094,55.17659404761904,0.5035474569652569,0.11536238095238094,55.768119047619045,0.5448977984463053,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2020-01-15,50,37,152,0.74,0.04976983492063493,52.48849174603175,-0.981266202303374,0.06145933333333334,53.072966666666666,-0.8358563045058578,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2020-01-16,50,37,144,0.74,0.1288633115995116,56.44316557997557,1.203157256254997,0.12722585604395603,56.3612928021978,0.848786773773458,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
