experiment_id,date,fund_id,fund_name,asset_family,method,rebalance_schedule,rebalanced,gross_return,turnover,transaction_cost,net_return,growth_of_1_gross,growth_of_1_net,drawdown_net,method_label,schedule_label,schedule_role,transaction_cost_bps
combined_maximum_sharpe__biweekly,2021-01-04,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,biweekly,True,0.0016091565153614172,1.0,0.001,0.0006091565153614172,1.0016091565153613,1.0006091565153614,0.0,Maximum Sharpe,Every 10 days,diagnostic experiment,10.0
combined_maximum_sharpe__biweekly,2021-01-05,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,biweekly,False,0.029656819012673273,0.0,0.0,0.029656819012673273,1.0313136979915738,1.0302840411725613,0.0,Maximum Sharpe,Every 10 days,diagnostic experiment,10.0
combined_maximum_sharpe__biweekly,2021-01-06,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,biweekly,False,0.06766631520207426,0.0,0.0,0.06766631520207426,1.1010988957520884,1.0999995658502106,0.0,Maximum Sharpe,Every 10 days,diagnostic experiment,10.0
combined_maximum_sharpe__biweekly,2021-01-07,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,biweekly,False,0.01885938270724426,0.0,0.0,0.01885938270724426,1.1218649412256012,1.1207448786403824,0.0,Maximum Sharpe,Every 10 days,diagnostic experiment,10.0
combined_maximum_sharpe__biweekly,2021-01-08,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,biweekly,False,0.004337293259633131,0.0,0.0,0.004337293259633131,1.1267307984733976,1.1256058778482776,0.0,Maximum Sharpe,Every 10 days,diagnostic experiment,10.0
combined_maximum_sharpe__biweekly,2021-01-11,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,biweekly,False,-0.023994024364520947,0.0,0.0,-0.023994024364520947,1.0996959922425709,1.098598062990338,-0.023994024364520916,Maximum Sharpe,Every 10 days,diagnostic experiment,10.0
combined_maximum_sharpe__biweekly,2021-01-12,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,biweekly,False,-0.013342186243587222,0.0,0.0,-0.013342186243587222,1.085023643502744,1.0839403630270767,-0.037016077866303565,Maximum Sharpe,Every 10 days,diagnostic experiment,10.0
combined_maximum_sharpe__biweekly,2021-01-13,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,biweekly,False,0.03369026414985461,0.0,0.0,0.03369026414985461,1.1215783766611893,1.1204586001801482,-0.004572895157556434,Maximum Sharpe,Every 10 days,diagnostic experiment,10.0
combined_maximum_sharpe__biweekly,2021-01-14,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,biweekly,False,0.008370969141599651,0.0,0.0,0.008370969141599651,1.1309670746421054,1.129837924546696,0.0,Maximum Sharpe,Every 10 days,diagnostic experiment,10.0
combined_maximum_sharpe__biweekly,2021-01-15,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,biweekly,False,-0.029621660313275042,0.0,0.0,-0.029621660313275042,1.0974659521315586,1.0963702493367182,-0.029621660313274956,Maximum Sharpe,Every 10 days,diagnostic experiment,10.0
combined_maximum_sharpe__biweekly,2021-01-19,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,biweekly,True,-0.0017637781621497105,0.10291187848179578,0.00010291187848179579,-0.0018666900406315062,1.0955302656514863,1.0943236659114366,-0.03143305589561285,Maximum Sharpe,Every 10 days,diagnostic experiment,10.0
combined_maximum_sharpe__biweekly,2021-01-20,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,biweekly,False,0.011326668468479907,0.0,0.0,0.011326668468479907,1.1079389737677063,1.106718707272427,-0.020462419230213746,Maximum Sharpe,Every 10 days,diagnostic experiment,10.0
combined_maximum_sharpe__biweekly,2021-01-21,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,biweekly,False,-0.04087585670185047,0.0,0.0,-0.04087585670185047,1.0626510190415823,1.061480631984702,-0.06050185701583677,Maximum Sharpe,Every 10 days,diagnostic experiment,10.0
combined_maximum_sharpe__biweekly,2021-01-22,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,biweekly,False,0.015041806568235842,0.0,0.0,0.015041806568235842,1.0786352101195444,1.0774472183269448,-0.0463701076778521,Maximum Sharpe,Every 10 days,diagnostic experiment,10.0
combined_maximum_sharpe__biweekly,2021-01-25,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,biweekly,False,-0.0025899688011508265,0.0,0.0,-0.0025899688011508265,1.0758415785775122,1.0746566636465913,-0.04883997934681128,Maximum Sharpe,Every 10 days,diagnostic experiment,10.0
combined_maximum_sharpe__biweekly,2021-01-26,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,biweekly,False,-0.004606794082957137,0.0,0.0,-0.004606794082957137,1.070885397959122,1.0697059416872936,-0.05322177770190195,Maximum Sharpe,Every 10 days,diagnostic experiment,10.0
combined_maximum_sharpe__biweekly,2021-01-27,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,biweekly,False,-0.046793783140565745,0.0,0.0,-0.046793783140565745,1.0207746188786244,1.0196503538278037,-0.09752511251832952,Maximum Sharpe,Every 10 days,diagnostic experiment,10.0
combined_maximum_sharpe__biweekly,2021-01-28,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,biweekly,False,0.047670199261308735,0.0,0.0,0.047670199261308735,1.0694351483614548,1.0682572893716389,-0.05450395480375125,Maximum Sharpe,Every 10 days,diagnostic experiment,10.0
combined_maximum_sharpe__biweekly,2021-01-29,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,biweekly,False,-0.0015630184186818312,0.0,0.0,-0.0015630184186818312,1.0677636015269802,1.0665875835524599,-0.05598178253718378,Maximum Sharpe,Every 10 days,diagnostic experiment,10.0
combined_maximum_sharpe__biweekly,2021-02-01,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,biweekly,False,0.012455452064700466,0.0,0.0,0.012455452064700466,1.0810630798822314,1.0798724140722022,-0.04422360888137167,Maximum Sharpe,Every 10 days,diagnostic experiment,10.0
combined_maximum_sharpe__biweekly,2021-02-02,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,biweekly,True,0.026338893288737803,0.1955589412154599,0.00019555894121545993,0.02614333434752234,1.1095370849816437,1.108103879645958,-0.01923642712688911,Maximum Sharpe,Every 10 days,diagnostic experiment,10.0
combined_maximum_sharpe__biweekly,2021-02-03,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,biweekly,False,0.00826731904361896,0.0,0.0,0.00826731904361896,1.118709982053914,1.117264927952463,-0.011128141763587562,Maximum Sharpe,Every 10 days,diagnostic experiment,10.0
combined_maximum_sharpe__biweekly,2021-02-04,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,biweekly,False,-0.0145617027118074,0.0,0.0,-0.0145617027118074,1.1024196598745133,1.1009956482212901,-0.025527799783298777,Maximum Sharpe,Every 10 days,diagnostic experiment,10.0
combined_maximum_sharpe__biweekly,2021-02-05,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,biweekly,False,0.022941357387463026,0.0,0.0,0.022941357387463026,1.12771066328266,1.1262539828691762,-0.0031720847739801217,Maximum Sharpe,Every 10 days,diagnostic experiment,10.0
combined_maximum_sharpe__biweekly,2021-02-08,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,biweekly,False,0.050567642734499596,0.0,0.0,0.050567642734499596,1.1847363332114231,1.183205991903212,0.0,Maximum Sharpe,Every 10 days,diagnostic experiment,10.0
combined_maximum_sharpe__biweekly,2021-02-09,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,biweekly,False,-0.005101330479820014,0.0,0.0,-0.005101330479820014,1.1786926016442616,1.1771700671128107,-0.0051013304798198655,Maximum Sharpe,Every 10 days,diagnostic experiment,10.0
combined_maximum_sharpe__biweekly,2021-02-10,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,biweekly,False,-0.0021785136115112565,0.0,0.0,-0.0021785136115112565,1.176124803767792,1.1746055860985418,-0.007268730773444032,Maximum Sharpe,Every 10 days,diagnostic experiment,10.0
combined_maximum_sharpe__biweekly,2021-02-11,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,biweekly,False,0.02638479886913719,0.0,0.0,0.02638479886913719,1.2071566201602089,1.2055973182383168,0.0,Maximum Sharpe,Every 10 days,diagnostic experiment,10.0
combined_maximum_sharpe__biweekly,2021-02-12,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,biweekly,False,0.024022716832898992,0.0,0.0,0.024022716832898992,1.236155801819277,1.2345590412288583,0.0,Maximum Sharpe,Every 10 days,diagnostic experiment,10.0
combined_maximum_sharpe__biweekly,2021-02-16,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,biweekly,False,0.00019347229875204316,0.0,0.0,0.00019347229875204316,1.2363949637238707,1.23479789420451,0.0,Maximum Sharpe,Every 10 days,diagnostic experiment,10.0
combined_maximum_sharpe__biweekly,2021-02-17,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,biweekly,True,0.009454660002192954,0.2504719755270992,0.0002504719755270992,0.009204188026665856,1.2480846577343037,1.2461632061976993,0.0,Maximum Sharpe,Every 10 days,diagnostic experiment,10.0
