sector,trading_days,days_with_news,mean_covered_companies,mean_coverage_breadth,mean_coverage_confidence,median_coverage_confidence,p10_coverage_confidence,p90_coverage_confidence,no_news_days,thin_evidence_days,broad_evidence_days,threshold_note
Comm,1006,997,3.783300198807157,0.7566600397614315,0.6078914553952137,0.6541666666666667,0.24489795918367352,0.9319526627218935,9,109,280,"<0.25 and >=0.75 are descriptive audit bands, not trading thresholds"
Consumer,1006,998,4.6958250497017895,0.9391650099403578,0.8228144987557889,0.8866379940097888,0.615916955017301,0.9688090737240076,8,8,711,"<0.25 and >=0.75 are descriptive audit bands, not trading thresholds"
Energy,1006,996,4.220675944333996,0.8441351888667993,0.7248769718569206,0.7550279893813481,0.40562499999999996,0.9515570934256055,10,61,508,"<0.25 and >=0.75 are descriptive audit bands, not trading thresholds"
Financials,1006,998,4.3747514910536776,0.8749502982107357,0.7700874244772954,0.8139109934738565,0.4799999999999999,0.9601870404733202,8,20,524,"<0.25 and >=0.75 are descriptive audit bands, not trading thresholds"
Healthcare,1006,997,4.178926441351889,0.8357852882703778,0.7106757879952177,0.7222222222222222,0.41206741357847354,0.9615384615384615,9,53,450,"<0.25 and >=0.75 are descriptive audit bands, not trading thresholds"
Industrials,1006,998,3.7594433399602387,0.7518886679920477,0.6016083659820745,0.65625,0.2777777777777776,0.9023668639053253,8,77,195,"<0.25 and >=0.75 are descriptive audit bands, not trading thresholds"
Materials,1006,940,2.6560636182902586,0.5312127236580517,0.39209204826230387,0.42,0.0,0.7388888888888888,66,336,100,"<0.25 and >=0.75 are descriptive audit bands, not trading thresholds"
RealEstate,1006,940,2.779324055666004,0.5558648111332009,0.4269654620985014,0.46875,0.0,0.8810853564049587,66,324,126,"<0.25 and >=0.75 are descriptive audit bands, not trading thresholds"
Tech,1006,1006,4.323061630218688,0.8646123260437375,0.7286464252312235,0.7630356564394465,0.4297866594652983,0.9499314128943759,0,35,514,"<0.25 and >=0.75 are descriptive audit bands, not trading thresholds"
Utilities,1006,962,2.9642147117296225,0.5928429423459244,0.45682334424751986,0.46875,0.0,0.9141354372123602,44,275,145,"<0.25 and >=0.75 are descriptive audit bands, not trading thresholds"
