prototype_id,fund_id,fund_name,asset_family,method,covariance_estimator,first_live_date,last_live_date,annualization_days,rebalance_count,gross_annualized_return,net_annualized_return,net_annualized_volatility,net_sharpe_ratio,net_maximum_drawdown,ending_growth_of_1_net,average_rebalance_turnover,cumulative_turnover,total_transaction_cost,average_target_change,average_target_weight_hhi,median_covariance_condition_number,maximum_covariance_condition_number,mean_covariance_shrinkage
combined_hierarchical_risk_parity__ledoit_wolf,combined_hierarchical_risk_parity,Combined Hierarchical Risk Parity,combined,hierarchical_risk_parity,ledoit_wolf,2021-01-04,2023-12-29,252,36,0.1048762138373438,0.10326187725191982,0.14110695058131673,0.7670782356378691,-0.17514866600559098,1.3413056563047339,0.12141538518364633,4.370953866611268,0.00437095386661127,0.09202550955916845,0.027354345397207658,559.6540094345546,709.7703344744926,0.05495838647078867
combined_hierarchical_risk_parity__sample_ridge,combined_hierarchical_risk_parity,Combined Hierarchical Risk Parity,combined,hierarchical_risk_parity,sample_ridge,2021-01-04,2023-12-29,252,36,0.09779925678492352,0.09606664411821852,0.139539136538007,0.727212042107939,-0.17907204203400418,1.3153357814470847,0.13115884951636525,4.7217185825891494,0.00472171858258915,0.10288033384984278,0.028746807759798,1688.718820017466,2851.3405090359306,0.0
combined_maximum_sharpe__ledoit_wolf,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,ledoit_wolf,2021-01-04,2023-12-29,252,36,0.14757716870756887,0.1437882590859052,0.2072541717156876,0.7518811671145017,-0.19469933245628557,1.4939714970228573,0.27567924509823194,9.92445282353635,0.009924452823536352,0.25405559773173264,0.09008626758488088,559.6540094345546,709.7703344744926,0.05495838647078867
combined_maximum_sharpe__sample_ridge,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,sample_ridge,2021-01-04,2023-12-29,252,36,0.15211988326831882,0.1483012284842582,0.20525980092536006,0.7763578226315341,-0.19375487931701407,1.511654488677553,0.2767534149654619,9.963122938756628,0.009963122938756628,0.25441648620618973,0.09192309815129023,1688.718820017466,2851.3405090359306,0.0
combined_minimum_variance__ledoit_wolf,combined_minimum_variance,Combined Minimum Variance,combined,minimum_variance,ledoit_wolf,2021-01-04,2023-12-29,252,36,0.05921237456410111,0.05744958707245984,0.1250019631237903,0.5093834517086071,-0.15947438039849282,1.1816536757082496,0.13834377732735714,4.980375983784858,0.004980375983784858,0.10855127218914765,0.07202808936118296,559.6540094345546,709.7703344744926,0.05495838647078867
combined_minimum_variance__sample_ridge,combined_minimum_variance,Combined Minimum Variance,combined,minimum_variance,sample_ridge,2021-01-04,2023-12-29,252,36,0.05861014737812642,0.05674488514710041,0.12515924002787968,0.5035736623237352,-0.15848671364948363,1.1793021880628194,0.14641519604744646,5.270947057708073,0.0052709470577080725,0.11392716967216399,0.07947038697471276,1688.718820017466,2851.3405090359306,0.0
combined_risk_parity__ledoit_wolf,combined_risk_parity,Combined Risk Parity,combined,risk_parity,ledoit_wolf,2021-01-04,2023-12-29,252,36,0.13993643481250806,0.13905466673615163,0.16240845087612923,0.883056128159104,-0.19547718398137204,1.4755725025461106,0.06421537582785995,2.3117535298029583,0.0023117535298029586,0.021959199147116793,0.020037219184647664,559.6540094345546,709.7703344744926,0.05495838647078867
combined_risk_parity__sample_ridge,combined_risk_parity,Combined Risk Parity,combined,risk_parity,sample_ridge,2021-01-04,2023-12-29,252,36,0.1396656825297451,0.13877911057107628,0.1620225306853937,0.8832785588726769,-0.1949397865841127,1.4745061124294498,0.0645828500947676,2.3249826034116334,0.0023249826034116333,0.022481158569787944,0.02015516860460094,1688.718820017466,2851.3405090359306,0.0
crypto_hierarchical_risk_parity__ledoit_wolf,crypto_hierarchical_risk_parity,Crypto Hierarchical Risk Parity,crypto,hierarchical_risk_parity,ledoit_wolf,2021-01-01,2023-12-31,365,36,0.37459872015444007,0.37245744618923293,0.7701096023241683,0.8006094188989812,-0.7872894798735297,2.5852149775600206,0.13086400549719762,4.711104197899115,0.0047111041978991144,0.07636869783594864,0.12394488201727258,55.82537947756657,97.69884291570531,0.04617887322338605
crypto_hierarchical_risk_parity__sample_ridge,crypto_hierarchical_risk_parity,Crypto Hierarchical Risk Parity,crypto,hierarchical_risk_parity,sample_ridge,2021-01-01,2023-12-31,365,36,0.4262339051507613,0.42401341995061137,0.7704322392741741,0.8478929948055431,-0.781381891304364,2.8876346627306813,0.1304856949567061,4.697485018441419,0.00469748501844142,0.07180723733444944,0.12300802706700718,95.82144657995258,138.34048869659242,0.0
