sector,date_start,date_end,trading_days,days_with_news,headline_count,mean_plain_sentiment,mean_finance_sentiment,volatility_finance_sentiment,mean_coverage_breadth
Comm,2020-01-02,2023-12-29,1006,997,11783,0.0759139238255701,0.08545916501015927,0.09390265288990032,0.7566600397614315
Consumer,2020-01-02,2023-12-29,1006,998,25877,0.09427673475608106,0.10136314791999058,0.08040685643924259,0.9391650099403578
Energy,2020-01-02,2023-12-29,1006,996,19365,0.09438726155786929,0.1017095257375968,0.107218083893352,0.8441351888667993
Financials,2020-01-02,2023-12-29,1006,998,18269,0.08467009937672168,0.09097197594038324,0.09972654021403166,0.8749502982107357
Healthcare,2020-01-02,2023-12-29,1006,997,14697,0.09080623484709067,0.10452046325191491,0.0991814589088924,0.8357852882703778
Industrials,2020-01-02,2023-12-29,1006,998,13156,0.07985926906701561,0.08442134584062345,0.08940273253090492,0.7518886679920477
Materials,2020-01-02,2023-12-29,1006,940,5393,0.05146494750082556,0.060647927244850026,0.07824504071229181,0.5312127236580517
RealEstate,2020-01-02,2023-12-29,1006,940,5339,0.07483935103547877,0.08567713005627021,0.09620621495083674,0.5558648111332009
Tech,2020-01-02,2023-12-29,1006,1006,26632,0.10235447927996995,0.1108044632111315,0.09405568632283902,0.8646123260437375
Utilities,2020-01-02,2023-12-29,1006,962,6319,0.10442233991070354,0.11532684964243381,0.1014188856055683,0.5928429423459244
